source_id,source_type,path,title,authors,year,edition,DOI_or_ISBN,language,printed_pages,pdf_pages,relevance,scientific_status,rights_status,notes_ru,notes_en,sha256
A3L006,journal_article,E:\ionog\conference_presentation\Статьи\Automatic_classification_of_spread-F_types_in_iono.pdf,Automatic classification of spread-F types in ionogram images using SVM and CNN,Benchawattananon et al.,2024,,10.1186/s40623-024-02002-x,en,1-14,14,high_reference_taxonomy,verified_secondary,cc_by_4_0,Таксономия FSF/RSF/MSF; не идентична Article 2,FSF/RSF/MSF taxonomy; not identical to Article 2,0d598c4c0dce37e1922bfe1cb67db3ad5a2c0c1bdd344ea6ae1d741a07197ef5
A3L007,book_proceedings,E:\ionog\conference_presentation\Статьи\book-2008.pdf,Труды ИПГ им. Е.К. Фёдорова. Выпуск 87,ИПГ/Росгидромет,2008,87,,ru,14-17 (key),212,virtual_height_OX,verified_primary,copyright_metadata_only,Действующая vs истинная высота; O/X,Virtual vs true height; O/X,44bba3f248c34a2a626c5bb8352de7ddcf57ff06288c87964ca3456685f633fe
A3L014,book,E:\ionog\conference_presentation\Статьи\Kotonaeva_Blok_1-416.pdf,Системный мониторинг ионосферы,Котонаева Н.Г. (ed.),2019,,978-5-9221-1878-1,ru,рис.6 area,416,monitoring_examples,applicable_with_limitations,copyright_all_rights,Не специализированный атлас SF,Not a dedicated SF atlas,576494458600accf325f15db3ac18b29e35858c68d0acd03ff7d426df04dece4
A3L015,technical_note,E:\ionog\conference_presentation\Статьи\nbstechnicalnote145.pdf,Equatorial Spread F,"Calvert, Wynne",1962,NBS TN 145,10.6028/nbs.tn.145,en,1+,120,equatorial_background,applicable_with_limitations,gov_publication,Не переносить на Казань (C04),Do not transfer to Kazan (C04),816a2c08d7521cf7c5a8382c2ebe36e1b34e288ddd8611ed77549c0a38aaee52
A3L018,journal_article,E:\ionog\conference_presentation\Статьи\Spread-F-in-the-Midlatitude-Ionosphere-According-to-DPS-4-Ionosonde-Data.pdf,F-рассеяние в среднеширотной ионосфере по данным DPS-4,Панченко В.А. и др.,2018,,10.1134/S0016793218020160,ru/en,241-249,10,midlatitude_SF_definition,verified_primary,journal_copyright,Операциональное определение SF,Operational SF definition,c4d9efa51b39df6326f3dc428f69616da94de177318d96e3b68f0df3400c6dd1
A2_PROTOCOL,project_protocol,E:\ionog\conference_presentation\02_article_2_morphology_temporal_dynamics\docs\ARTICLE2_MORPHOLOGY_RULE_CANDIDATE_RU.md,Article 2 morphology rule candidate,project,2026,,,ru,n/a,n/a,canonical_labels,development_only,project_internal,Канонические метки frequency/range/mixed/none/indeterminate,Canonical frame labels,
CALSTAT,project_calibration,E:\ionog\conference_presentation\spread_f_article\docs\CALIBRATION_STATUS.md,Calibration status Amp_all archive,project,2026,,,ru,n/a,n/a,instrument_profile,verified_secondary,project_internal,"Amp_all shape, ff, minute mapping, Gate2 open","Amp_all shape, ff, minute mapping, Gate2 open",
GETION,legacy_matlab,E:\ionog\conference_presentation\mscripts\get_ionogram.m,get_ionogram.m legacy renderer,legacy,,,,matlab,n/a,n/a,frame_slice_height_scale,development_only,project_internal,i*256 slice; *2.5 height; DateVector minute-1 quirk,Legacy slice and height scale,
FREG,formula_register,E:\ionog\conference_presentation\04_article_3_dawn_dusk_solar_terminator\18_radiophysics_framework\ARTICLE3_VERIFIED_FORMULA_REGISTER.csv,Article3 verified formula register,project L0,2026,,,ru/en,n/a,n/a,formula_policy,verified_primary,project_internal,Источник статусов формул для IML,Formula status source for IML,
CLM,claim_matrix,E:\ionog\conference_presentation\04_article_3_dawn_dusk_solar_terminator\18_radiophysics_framework\ARTICLE3_PHYSICS_CLAIM_SOURCE_MATRIX.csv,Article3 physics claim source matrix,project L0,2026,,,ru,n/a,n/a,claim_policy,verified_primary,project_internal,C01-C04,C01-C04,
A3L004,incomplete_download,E:\ionog\conference_presentation\Статьи\97-106.pdf.crdownload,incomplete,,,,,,,,none,unreadable,unknown,Незавершённая загрузка,Incomplete download,5b2047cc4b8bbfab66886cffed88fbe2eaf47ced8748c6d1696ac79b242a73eb
